data\cghd_text\cghd_017854.png	4148
data\cghd_text\cghd_013849.png	17
data\cghd_text\cghd_013833.png	36
data\cghd_text\cghd_023137.png	240pF
data\cghd_text\cghd_027757.png	1K
data\cghd_text\cghd_001598.png	+
data\cghd_text\cghd_020319.png	pF/uF
data\cghd_text\cghd_010640.png	20
data\cghd_text\cghd_029667.png	230V
data\cghd_text\cghd_029563.png	47K
data\cghd_text\cghd_018202.png	9
data\cghd_text\cghd_006146.png	7
data\cghd_text\cghd_007752.png	3
data\cghd_text\cghd_030228.png	V1
data\cghd_text\cghd_002938.png	5.1MΩ
data\cghd_text\cghd_008096.png	10K
data\cghd_text\cghd_021658.png	1K
data\cghd_text\cghd_004899.png	6
data\cghd_text\cghd_027113.png	12
data\cghd_text\cghd_032569.png	2k2
data\cghd_text\cghd_031773.png	4069
data\cghd_text\cghd_013984.png	35
data\cghd_text\cghd_002544.png	100uF
data\cghd_text\cghd_014786.png	1K
data\cghd_text\cghd_002191.png	22K
data\cghd_text\cghd_018061.png	1
data\cghd_text\cghd_012632.png	10KΩ
data\cghd_text\cghd_034466.png	2.2K
data\cghd_text\cghd_011887.png	600KΩ
data\cghd_text\cghd_021915.png	10uF
data\cghd_text\cghd_022683.png	4.7K
data\cghd_text\cghd_005306.png	+
data\cghd_text\cghd_017850.png	470pF
data\cghd_text\cghd_023541.png	4.7kΩ
data\cghd_text\cghd_021093.png	A
data\cghd_text\cghd_010881.png	12
data\cghd_text\cghd_012643.png	3
data\cghd_text\cghd_015963.png	33pF
data\cghd_text\cghd_017467.png	10K
data\cghd_text\cghd_025457.png	1Ω
data\cghd_text\cghd_007912.png	22K
data\cghd_text\cghd_011964.png	680Ω
data\cghd_text\cghd_024363.png	+12V
data\cghd_text\cghd_014980.png	4
data\cghd_text\cghd_035218.png	4.7K
data\cghd_text\cghd_026618.png	100nF
data\cghd_text\cghd_009653.png	486
data\cghd_text\cghd_033908.png	3
data\cghd_text\cghd_020842.png	100K
data\cghd_text\cghd_029118.png	2
data\cghd_text\cghd_017406.png	4.7K
data\cghd_text\cghd_002950.png	2.2MΩ
data\cghd_text\cghd_006941.png	230VA1
data\cghd_text\cghd_021107.png	9
data\cghd_text\cghd_000701.png	9V
data\cghd_text\cghd_025327.png	-
data\cghd_text\cghd_003290.png	470u
data\cghd_text\cghd_002716.png	10u
data\cghd_text\cghd_029052.png	V1
data\cghd_text\cghd_002254.png	7
data\cghd_text\cghd_004785.png	6.8K
data\cghd_text\cghd_006794.png	1
data\cghd_text\cghd_013695.png	10K
data\cghd_text\cghd_013651.png	7
data\cghd_text\cghd_003712.png	11
data\cghd_text\cghd_025056.png	50Ω
data\cghd_text\cghd_007017.png	20K
data\cghd_text\cghd_005944.png	+12V
data\cghd_text\cghd_018662.png	V02
data\cghd_text\cghd_030255.png	5
data\cghd_text\cghd_014882.png	22pF
data\cghd_text\cghd_033600.png	4
data\cghd_text\cghd_029074.png	0
data\cghd_text\cghd_005505.png	33K
data\cghd_text\cghd_004389.png	220
data\cghd_text\cghd_024937.png	V
data\cghd_text\cghd_001855.png	10M
data\cghd_text\cghd_001702.png	47K
data\cghd_text\cghd_035122.png	50V
data\cghd_text\cghd_008729.png	25
data\cghd_text\cghd_018143.png	13
data\cghd_text\cghd_011997.png	4
data\cghd_text\cghd_021782.png	+9V
data\cghd_text\cghd_023031.png	256
data\cghd_text\cghd_017875.png	2.2K
