image,config,n_components,n_gt_groups,n_pred_groups,port_correct_rate,fp_rate,fn_rate,group_accuracy,comp_neighbor_accuracy
C-14_D1_P1,Ours,9,5,3,0.25,0.7058823529411765,0.75,0.2,0.2222222222222222
C-14_D1_P1,Baseline,9,5,2,0.2,0.75,0.8,0.0,0.0
C-14_D1_P1,w/o_Sobel,9,5,3,0.25,0.7058823529411765,0.75,0.2,0.2222222222222222
C-14_D1_P1,w/_Skeleton,9,5,3,0.25,0.7058823529411765,0.75,0.2,0.2222222222222222
C-14_D1_P1,CCL,9,5,1,0.2,0.8095238095238095,0.8,0.0,0.0
C-19_D1_P1,Ours,16,9,8,0.23214285714285715,0.3157894736842105,0.7678571428571429,0.1111111111111111,0.3125
C-19_D1_P1,Baseline,16,9,5,0.3392857142857143,0.6833333333333333,0.6607142857142857,0.0,0.1875
C-19_D1_P1,w/o_Sobel,16,9,8,0.23214285714285715,0.3157894736842105,0.7678571428571429,0.1111111111111111,0.3125
C-19_D1_P1,w/_Skeleton,16,9,8,0.23214285714285715,0.3157894736842105,0.7678571428571429,0.1111111111111111,0.3125
C-19_D1_P1,CCL,16,9,5,0.30357142857142855,0.34615384615384615,0.6964285714285714,0.1111111111111111,0.125
C103_D1_P1,Ours,11,8,2,0.05263157894736842,0.75,0.9473684210526315,0.0,0.09090909090909091
C103_D1_P1,Baseline,11,8,3,0.10526315789473684,0.6,0.8947368421052632,0.0,0.09090909090909091
C103_D1_P1,w/o_Sobel,11,8,2,0.05263157894736842,0.75,0.9473684210526315,0.0,0.09090909090909091
C103_D1_P1,w/_Skeleton,11,8,2,0.05263157894736842,0.75,0.9473684210526315,0.0,0.09090909090909091
C103_D1_P1,CCL,11,8,2,0.05263157894736842,0.5,0.9473684210526315,0.0,0.09090909090909091
C10_D1_P1,Ours,4,4,4,1.0,0.0,0.0,1.0,0.75
C10_D1_P1,Baseline,4,4,4,1.0,0.0,0.0,1.0,0.75
C10_D1_P1,w/o_Sobel,4,4,4,1.0,0.0,0.0,1.0,0.75
C10_D1_P1,w/_Skeleton,4,4,4,1.0,0.0,0.0,1.0,0.75
C10_D1_P1,CCL,4,4,2,0.5,0.0,0.5,0.5,0.5
C10_D1_P3,Ours,4,4,4,1.0,0.0,0.0,1.0,1.0
C10_D1_P3,Baseline,4,4,3,0.75,0.4,0.25,0.5,0.25
C10_D1_P3,w/o_Sobel,4,4,4,1.0,0.0,0.0,1.0,1.0
C10_D1_P3,w/_Skeleton,4,4,4,1.0,0.0,0.0,1.0,1.0
C10_D1_P3,CCL,4,4,1,0.25,0.0,0.75,0.25,0.25
C111_D2_P3,Ours,5,4,3,0.625,0.2857142857142857,0.375,0.25,0.2
C111_D2_P3,Baseline,5,4,3,0.625,0.2857142857142857,0.375,0.25,0.2
C111_D2_P3,w/o_Sobel,5,4,3,0.625,0.2857142857142857,0.375,0.25,0.2
C111_D2_P3,w/_Skeleton,5,4,3,0.625,0.2857142857142857,0.375,0.25,0.2
C111_D2_P3,CCL,5,4,1,0.125,0.0,0.875,0.0,0.0
C11_D1_P1,Ours,5,4,3,0.375,0.4,0.625,0.5,0.4
C11_D1_P1,Baseline,5,4,4,0.5,0.3333333333333333,0.5,0.5,0.4
C11_D1_P1,w/o_Sobel,5,4,3,0.375,0.4,0.625,0.5,0.4
C11_D1_P1,w/_Skeleton,5,4,3,0.375,0.4,0.625,0.5,0.4
C11_D1_P1,CCL,5,4,0,0.0,0.0,1.0,0.0,0.0
C11_D1_P3,Ours,5,4,3,0.375,0.4,0.625,0.5,0.4
C11_D1_P3,Baseline,5,4,3,0.375,0.4,0.625,0.5,0.4
C11_D1_P3,w/o_Sobel,5,4,3,0.375,0.4,0.625,0.5,0.4
C11_D1_P3,w/_Skeleton,5,4,3,0.375,0.4,0.625,0.5,0.4
C11_D1_P3,CCL,5,4,1,0.125,0.0,0.875,0.0,0.0
C130_D1_P1,Ours,10,5,4,0.21739130434782608,0.6428571428571429,0.782608695652174,0.0,0.1
C130_D1_P1,Baseline,10,5,3,0.2608695652173913,0.6470588235294118,0.7391304347826086,0.0,0.1
C130_D1_P1,w/o_Sobel,10,5,4,0.21739130434782608,0.6428571428571429,0.782608695652174,0.0,0.1
C130_D1_P1,w/_Skeleton,10,5,4,0.21739130434782608,0.6428571428571429,0.782608695652174,0.0,0.1
C130_D1_P1,CCL,10,5,3,0.21739130434782608,0.5,0.782608695652174,0.0,0.0
C130_D2_P1,Ours,10,5,4,0.13043478260869565,0.6666666666666666,0.8695652173913043,0.0,0.0
C130_D2_P1,Baseline,10,5,3,0.13043478260869565,0.625,0.8695652173913043,0.0,0.0
C130_D2_P1,w/o_Sobel,10,5,4,0.13043478260869565,0.6666666666666666,0.8695652173913043,0.0,0.0
C130_D2_P1,w/_Skeleton,10,5,4,0.13043478260869565,0.6666666666666666,0.8695652173913043,0.0,0.0
C130_D2_P1,CCL,10,5,3,0.43478260869565216,0.4117647058823529,0.5652173913043478,0.0,0.4
C158_D1_P1,Ours,7,6,3,0.26666666666666666,0.6,0.7333333333333333,0.0,0.0
C158_D1_P1,Baseline,7,6,3,0.26666666666666666,0.42857142857142855,0.7333333333333333,0.16666666666666666,0.0
C158_D1_P1,w/o_Sobel,7,6,3,0.26666666666666666,0.6,0.7333333333333333,0.0,0.0
C158_D1_P1,w/_Skeleton,7,6,3,0.26666666666666666,0.6,0.7333333333333333,0.0,0.0
C158_D1_P1,CCL,7,6,1,0.0,1.0,1.0,0.0,0.0
C158_D2_P1,Ours,7,6,2,0.06666666666666667,0.5,0.9333333333333333,0.0,0.0
C158_D2_P1,Baseline,7,6,2,0.13333333333333333,0.7142857142857143,0.8666666666666667,0.0,0.0
C158_D2_P1,w/o_Sobel,7,6,2,0.06666666666666667,0.5,0.9333333333333333,0.0,0.0
C158_D2_P1,w/_Skeleton,7,6,2,0.06666666666666667,0.5,0.9333333333333333,0.0,0.0
C158_D2_P1,CCL,7,6,1,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0
C161_D1_P1,Ours,24,15,10,0.136986301369863,0.7674418604651163,0.863013698630137,0.0,0.041666666666666664
